time,week,start,highest,lowest,end,rose,amp,vol,
2011-07-15,五,24050,24499,23940,24160,0.35%,2.32%,2,387
2011-07-18,一,24100,24215,23625,23770,-1.61%,2.44%,2,298
2011-07-19,二,23850,24290,23820,24105,1.41%,1.98%,1,970
2011-07-20,三,24050,24185,23780,24000,-0.44%,1.68%,1,605
2011-07-21,四,24050,24130,23710,23900,-0.42%,1.75%,1,965
2011-07-22,五,23900,24201,23850,23970,0.29%,1.47%,749
2011-07-25,一,23950,23976,23689,23846,-0.52%,1.20%,1,168
2011-07-26,二,23850,24321,23850,24150,1.27%,1.98%,2,228
2011-07-27,三,24100,24500,24045,24400,1.04%,1.88%,2,567
2011-07-28,四,24300,24700,24230,24650,1.02%,1.93%,2,641
2011-07-29,五,24600,24725,24380,24450,-0.81%,1.40%,1,776
2011-08-02,二,24650,24850,24451,24700,1.02%,1.63%,2,112
2011-08-03,三,24650,24685,23831,23920,-3.16%,3.46%,4,230
2011-08-04,四,23950,24050,23425,23608,-1.30%,2.61%,3,328
2011-08-05,五,23420,23420,22350,22350,-5.33%,4.53%,5,535
2011-08-08,一,22525,22600,21200,21401,-4.25%,6.26%,6,007
2011-08-09,二,21255,21975,20200,21250,-0.71%,8.29%,4,485
2011-08-10,三,21500,22075,20936,21120,-0.61%,5.36%,0
2011-08-11,四,20968,21799,20700,21581,2.18%,5.20%,3,130
2011-08-12,五,21700,21940,21320,21490,-0.42%,2.87%,2,346
2011-08-15,一,21600,21850,21276,21460,-0.14%,2.67%,2,368
2011-08-16,二,21500,21725,21235,21639,0.83%,2.28%,2,390
2011-08-17,三,21600,21989,21500,21890,1.16%,2.26%,1,881
2011-08-18,四,21900,21925,21235,21354,-2.45%,3.15%,2,064
2011-08-19,五,21250,21589,21122,21199,-0.73%,2.19%,2,172
2011-08-22,一,21200,21366,20760,20777,-1.99%,2.86%,2,383
2011-08-23,二,20900,21177,20899,20900,0.59%,1.34%,1,557
2011-08-24,三,20875,21061,20500,20850,-0.24%,2.68%,3,013
2011-08-25,四,20850,21295,20825,21020,0.82%,2.25%,1,873
2011-08-26,五,20990,21700,20900,21474,2.16%,3.81%,2,584
2011-08-30,二,21701,22049,21650,21910,2.03%,1.86%,2,786
2011-08-31,三,21805,22450,21755,22290,1.73%,3.17%,2,351
2011-09-01,四,22208,22280,21672,21775,-2.31%,2.73%,2,046
2011-09-02,五,21700,21807,21225,21475,-1.38%,2.67%,2,060
2011-09-19,一,21600,21600,20898,21006,-2.18%,3.27%,2,251
2011-09-20,二,21100,21445,20905,21066,0.29%,2.57%,2,327
2011-09-22,四,20350,20450,17000,17000,-19.30%,16.38%,7,769
2011-09-26,一,18400,18625,17150,18214,7.14%,8.68%,5,697
2011-09-27,二,18500,19170,18350,19047,4.57%,4.50%,2,935
2011-09-29,四,18105,18825,17880,18650,-2.08%,4.96%,2,364
2011-10-03,一,18024,19095,17311,18750,0.54%,9.57%,4,068
2011-10-04,二,18550,19432,18101,18606,-0.77%,7.10%,3,134
2011-10-05,三,18800,19100,18300,18633,0.15%,4.30%,1,775
2011-10-06,四,18780,19050,18500,19050,2.24%,2.95%,1,591
2011-10-07,五,19003,19255,18607,18944,-0.56%,3.40%,1,973
2011-10-10,一,19100,19550,18651,19550,3.20%,4.75%,1,777
2011-10-11,二,19300,19401,18656,18824,-3.71%,3.81%,2,145
2011-10-12,三,18701,19312,18650,19043,1.16%,3.52%,1,940
2011-10-13,四,18950,19071,18300,18411,-3.32%,4.05%,2,683
2011-10-17,一,18900,19150,18651,18855,2.41%,2.71%,1,662
2011-10-18,二,18800,19200,18549,19163,1.63%,3.45%,2,154
2011-10-19,三,19001,19149,18600,18647,-2.69%,2.86%,1,616
2011-10-20,四,18550,18700,17900,18150,-2.67%,4.29%,2,549
2011-10-24,一,19000,20162,18790,20015,10.28%,7.56%,3,984
2011-10-25,二,,20300,19649,19764,-1.25%,3.25%,3,508
2011-10-27,四,19275,20148,19275,19900,0.69%,4.42%,2,588
2011-10-31,一,19500,19666,19252,19650,-1.26%,2.08%,1,487
2011-11-01,二,19690,19700,18550,18600,-5.34%,5.85%,2,912
2011-11-02,三,18700,19080,18350,18480,-0.65%,3.92%,2,229
2011-11-03,四,18600,18826,18197,18425,-0.30%,3.40%,2,437
2011-11-04,五,18500,18925,18500,18877,2.45%,2.31%,1,741
2011-11-07,一,18800,18805,18530,18625,-1.33%,1.46%,0
2011-11-08,二,18700,18775,18352,18581,-0.24%,2.27%,0
2011-11-09,三,18675,18775,18025,18050,-2.86%,4.04%,0
2011-11-10,四,18165,18282,17850,18178,0.71%,2.39%,0
2011-11-11,五,18250,18452,18032,18211,0.18%,2.31%,1,342
2011-11-14,一,18252,18550,17650,17663,-3.01%,4.94%,0
2011-11-15,二,17700,17999,17552,17575,-0.50%,2.53%,0
2011-11-16,三,17725,18155,17490,18150,3.27%,3.78%,0
2011-11-17,四,17950,18100,17725,17813,-1.86%,2.07%,1,744
2011-11-18,五,17810,18160,17670,17754,-0.33%,2.75%,1,870
2011-11-21,一,17745,17800,17431,17800,0.26%,2.08%,0
2011-11-22,二,17766,17965,17550,17642,-0.89%,2.33%,0
2011-11-23,三,17660,17700,17005,17205,-2.48%,3.94%,0
2011-11-25,五,17075,17189,16825,16938,-1.55%,2.12%,1,995
2011-11-28,一,17000,17450,17000,17275,1.99%,2.66%,1,945
2011-11-29,二,17180,17440,16940,17100,-1.01%,2.89%,2,237
2011-11-30,三,17150,18100,16550,17407,1.80%,9.06%,5,200
2011-12-01,四,17500,17500,16600,16795,-3.52%,5.17%,3,050
2011-12-02,五,16900,17850,16680,17650,5.09%,6.97%,3,023
2011-12-05,一,17750,18480,17550,18368,4.07%,5.27%,4,099
2011-12-06,二,18220,18500,17950,18386,0.10%,2.99%,3,056
2011-12-07,三,18320,18589,17940,18000,-2.10%,3.53%,2,015
2011-12-08,四,18100,18534,17965,18240,1.33%,3.16%,3,129
2011-12-09,五,18150,18675,18045,18650,2.25%,3.45%,1,951
2011-12-12,一,18550,18550,18080,18300,-1.88%,2.52%,2,285
2011-12-13,二,18390,18511,18092,18225,-0.41%,2.29%,1,912
2011-12-14,三,18239,18239,17423,17470,-4.14%,4.48%,2,758
2011-12-15,四,17550,18049,17326,17900,2.46%,4.14%,2,463
2011-12-16,五,17875,18625,17813,18510,3.41%,4.54%,3,019
2011-12-19,一,18510,18580,18050,18412,-0.53%,2.86%,2,240
2011-12-20,二,18351,18999,18350,18851,2.38%,3.52%,3,407
2011-12-21,三,18920,19069,18537,18945,0.50%,2.82%,2,031
2011-12-22,四,18920,18999,18600,18615,-1.74%,2.11%,1,562
2011-12-23,五,18700,18850,18512,18570,-0.24%,1.82%,1,326
2011-12-28,三,18590,18590,17810,17840,-3.93%,4.20%,1,814
2011-12-29,四,17840,18193,17750,18121,1.58%,2.48%,1,533
2011-12-30,五,18155,18650,18110,18620,2.75%,2.98%,1,374
2012-01-03,二,18715,18950,18331,18924,1.63%,3.32%,2,484
2012-01-04,三,18950,18950,18475,18775,-0.79%,2.51%,2,175
2012-01-05,四,18800,18800,18450,18600,-0.93%,1.86%,1,500
2012-01-06,五,18700,18924,18490,18755,0.83%,2.33%,1,681
2012-01-09,一,18601,19118,18500,19070,1.68%,3.30%,3,013
2012-01-10,二,19001,19540,18900,19480,2.15%,3.36%,3,165
2012-01-11,三,19400,19679,19150,19440,-0.21%,2.72%,2,792
2012-01-12,四,19380,19950,19350,19700,1.34%,3.09%,5,019
2012-01-13,五,19550,19900,19251,19475,-1.14%,3.29%,3,168
2012-01-16,一,19475,19590,19176,19325,-0.77%,2.13%,1,410
2012-01-17,二,19450,19665,19420,19475,0.78%,1.27%,1,772
2012-01-18,三,19475,19630,19255,19560,0.44%,1.93%,2,019
2012-01-19,四,19620,20251,19551,20220,3.37%,3.58%,2,791
2012-01-20,五,20250,20635,20145,20481,1.29%,2.42%,2,847
2012-01-23,一,20440,20755,20275,20400,-0.40%,2.34%,2,458
2012-01-24,二,20250,20633,20225,20595,0.96%,2.00%,2,155
2012-01-25,三,20625,21220,20533,21160,2.74%,3.34%,2,861
2012-01-26,四,21200,21680,20965,21559,1.89%,3.38%,2,725
2012-01-27,五,21550,21788,21270,21702,0.66%,2.40%,2,699
2012-01-30,一,21653,21653,21250,21275,-1.97%,1.86%,2,601
2012-01-31,二,21320,21499,20630,20737,-2.53%,4.08%,3,608
2012-02-01,三,20710,21150,20549,21039,1.46%,2.90%,4,093
2012-02-02,四,21085,21320,20611,20900,-0.66%,3.37%,3,320
2012-02-03,五,20850,21455,20781,21306,1.94%,3.22%,2,352
2012-02-06,一,21287,21672,21025,21600,1.38%,3.04%,2,178
2012-02-07,二,21550,21775,21266,21715,0.53%,2.36%,2,920
2012-02-08,三,21715,22150,21507,21547,-0.77%,2.96%,3,214
2012-02-09,四,21550,22050,21215,21700,0.71%,3.88%,3,573
2012-02-10,五,21700,21700,20640,20800,-4.15%,4.88%,3,380
2012-02-13,一,20800,21097,20500,20633,-0.80%,2.87%,3,065
2012-02-14,二,20660,20780,20056,20109,-2.54%,3.51%,3,536
2012-02-15,三,20200,20450,20000,20201,0.46%,2.24%,3,329
2012-02-16,四,20100,20100,19764,19990,-1.04%,1.66%,2,864
2012-02-17,五,20000,20300,19410,19580,-2.05%,4.45%,3,586
2012-02-20,一,19879,20050,19525,19990,2.09%,2.68%,1,774
2012-02-21,二,19920,20475,19800,20400,2.05%,3.38%,2,997
2012-02-22,三,20400,20519,20060,20204,-0.96%,2.25%,2,371
2012-02-23,四,20130,20290,19900,20023,-0.90%,1.93%,1,964
2012-02-24,五,20100,20260,19761,20150,0.63%,2.49%,2,335
2012-02-27,一,20175,20300,19880,20132,-0.09%,2.08%,1,829
2012-02-28,二,20150,20360,19720,19850,-1.40%,3.18%,2,786
2012-02-29,三,19925,20244,19150,19466,-1.93%,5.51%,4,461
2012-03-01,四,19362,19935,19362,19690,1.15%,2.94%,3,307
2012-03-02,五,19695,19815,19242,19598,-0.47%,2.91%,2,497
2012-03-05,一,19550,19600,19050,19099,-2.55%,2.81%,2,776
2012-03-06,二,19100,19190,18628,18690,-2.14%,2.94%,3,454
2012-03-07,三,18750,19097,18670,19065,2.01%,2.28%,3,012
2012-03-08,四,19021,19275,18775,18775,-1.52%,2.62%,2,805
2012-03-09,五,18775,19340,18775,19255,2.56%,3.01%,2,803
2012-03-12,一,19340,19340,19000,19248,-0.04%,1.77%,2,069
2012-03-13,二,19275,19580,19250,19536,1.50%,1.71%,2,058
2012-03-14,三,19451,19590,19350,19528,-0.04%,1.23%,1,926
2012-03-15,四,19450,19522,19180,19360,-0.86%,1.75%,2,516
2012-03-16,五,19350,19430,18920,18980,-1.96%,2.63%,2,351
2012-03-19,一,19050,19100,18775,19023,0.23%,1.71%,2,323
2012-03-20,二,19050,19100,18770,19005,-0.09%,1.73%,2,152
2012-03-21,三,19025,19080,18780,18808,-1.04%,1.58%,1,900
2012-03-22,四,18850,18880,18266,18419,-2.07%,3.26%,3,523
2012-03-23,五,18450,18600,18144,18225,-1.05%,2.48%,3,336
2012-03-26,一,18250,18506,18150,18253,0.15%,1.95%,2,587
2012-03-27,二,18281,18419,17781,17800,-2.48%,3.50%,3,717
